Parcel,Street Num,Street,Zip,Width,Depth,Acres,Type,Zone,Price
3113800000000,1497,LIVEWELL CL,38114,82,114,0.207,VCNT LAND,RU-,$900.00
3201300000000,720,NEPTUNE,38104,70,150,0.254,VCNT LAND,EMP,$500.00
0340080000025C,1594,HUMBER,38106,85,165,0.33,VCNT LOT,R-6,$500.00
3402500000000,1585,ELY,38106,50,80,0.087,VCNT LAND,R-6,$300.00
3402900000000,1489,MCMILLAN,38106,50,160,0.174,VCNT LAND,R-6,$500.00
3403000000000,601,PARKWAY S.E.,38106,55,80,0.09,VCNT LAND,MU,$500.00
3403300000000,0,MILLER,38106,35,80,0.059,VCNT LAND,R-6,$300.00
0340350000022C,0,ELY,38106,100,80,0.178,VCNT LAND,R-6,$300.00
3404000000000,709,SIMS,38106,64,106,0.169,VCNT LAND,R-6,$300.00
3405200000000,1489,HAVANA,38106,40,177,0.197,VCNT LAND,R-6,$500.00
3407700000000,947,KIRKLAND,38106,50,150,0.178,VCNT LAND,RU-,"$1,000.00"
3502500000000,273,SILVERAGE,38109,50,100,0.11,VCNT LOT,R-6,$100.00
3506000000000,176,INGLE,38109,34,100,0.08,VCNT LOT,R-6,$200.00
3508000000000,1620,KANSAS,38109,50,160,0.184,VCNT LAND,R-6,$500.00
3510000000000,0,RAYBURN,38106,36,90,0.079,VCNT LAND,R-6,$500.00
3510100000000,0,OLMSTEAD,38106,54,91,0.107,VCNT LAND,R-6,$300.00
3510100000000,0,OLMSTEAD,38106,54,91,0.111,VCNT LAND,R-6,$300.00
3510300000000,0,RAYBURN,38106,36,90,0.074,VCNT LAND,R-6,$300.00
3510300000000,0,RAYBURN,38106,72,90,0.149,VCNT LAND,R-6,$300.00
0351030000031C,0,RAYBURN,38106,54,90,0.112,VCNT LAND,R-6,$300.00
3510300000000,1610,RAYBURN,38106,54,90,0.112,VCNT LAND,R-6,$300.00
3510400000000,270,WEAVER,38106,36,91,0.078,VCNT LAND,R-6,$300.00
3808100000000,3835,BOWEN,38122,107,152,0.388,VCNT LOT,R-6,"$1,200.00"
3900800000000,0,LIFE,38107,28,66,0.039,VCNT LAND,EMP,$300.00
3901600000000,1332,NICHOLS,38107,63,138,0.193,VCNT LAND,EMP,"$1,000.00"
3905000000000,1138,PEARCE,38107,40,100,0.083,VCNT LAND,RU-,$400.00
4002000000000,1135,ARGYLE,38107,25,112,0.059,VCNT LAND,RU-,$400.00
4002400000000,1433,BELLEVUE N.,38107,22,72,0.036,VCNT LAND,RU-,$500.00
4002500000000,1436,BELLEVUE N.,38107,19,150,0.063,VCNT LAND,RU-,$200.00
4100500000000,1584,MAY,38108,40,120,0.11,VCNT LAND,R-6,$500.00
4104300000000,1360,TUNICA,38108,40,130,0.125,VCNT LAND,RU-,"$1,000.00"
4200500000000,1622,MAPLEWOOD,38108,40,150,0.143,VCNT LAND,R-6,$500.00
4203400000000,2305,ELDRIDGE,38108,37,110,0.093,VCNT LAND,RU-,$500.00
4204200000000,2285,ALAMEDA,38108,58,171,0.233,VCNT LAND,R-6,"$1,000.00"
4205100000000,2521,SHASTA,38108,40,125,0.12,VCNT LAND,EMP,$300.00
4205300000000,1249,FAIRFAX,38108,1084,361,7.596,VCNT LAND,EMP,"$10,000.00"
4205500000000,1314,STANDRIDGE,38108,40,135,0.13,VCNT LAND,RU-,$400.00
4302300000000,3045,CALVERT,38108,40,115,0.12,VCNT LAND,RU-,$500.00
4302300000000,1654,POPE,38108,40,113,0.103,VCNT LAND,RU-,$800.00
4302300000000,0,BROOKINS,38108,23,67,0.026,VCNT LAND,RU-,$400.00
4305800000000,3337,BUCHANAN,38122,60,110,0.156,VCNT LAND,RU-,$600.00
4306500000000,0,HIGHLAND N.,38122,57,300,0.422,VCNT LAND,RU-,"$1,200.00"
4306800000000,3451,BUCHANAN,38122,50,117,0.135,VCNT LAND,RU-,$600.00
4700900000000,2084,LOWELL,38114,32,139,0.12,VCNT LAND,RU-,$500.00
4704000000000,2606,BURNS,38114,55,154,0.178,VCNT LAND,R-6,$500.00
4707700000000,2658,KIMBALL,38114,50,153,0.184,VCNT LAND,R-6,"$1,000.00"
4801600000000,1467,WALDORF E.,38106,25,127,0.069,VCNT LAND,RU-,$300.00
4802300000000,1382,DORIS,38106,50,110,0.126,VCNT LAND,RU-,"$1,000.00"
4903000000000,496,SHAWNEE,38106,60,179,0.226,VCNT LAND,R-6,$800.00
5000400000000,1962,SWIFT,38109,58,103,0.178,VCNT LAND,R-6,$500.00
5002300000000,2245,KENTUCKY,38109,50,150,0.162,VCNT LAND,RU-,"$1,000.00"
5003700000000,,MCKELLAR W.,38109,50,150,0.172,VCNT LAND,RU-,$500.00
5203300000000,675,BINGHAM N.,38112,60,125,0.165,VCNT LAND,RU-,$800.00
5303600000000,3832,BURR,38108,50,135,0.14,VCNT LAND,R-6,$500.00
5500200000000,571,SHARON,38122,58,110,0.148,VCNT LAND,RU-,"$1,000.00"
